Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
38,Medical treatment,2007,April,Wednesday,22,Fall from vehicle,Single Vehicle,152.9930495,-27.48679027,Benson St,,,Toowong,Brisbane City,4066,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Toowong,Brisbane Inner - West,Brisbane Inner City,Major Cities,Maiwar,Ryan,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,308,Vehs Same Direction: Right Turn S/Swipe,06: Parallel Lanes Turning,S,0,0,1,0,1,1,1,0,0,0,0,0
39,Hospitalisation,2007,July,Tuesday,8,Fall from vehicle,Single Vehicle,152.940932,-26.69541719,Hunchy Rd,Woombye - Montville Rd,Woombye - Montville Road,Palmwoods,Sunshine Coast Region,4555,Palmwoods,Sunshine Coast,North Coast,SEQ North,North Coast,Palmwoods,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Nicklin,Fisher,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,805,Off Path-Curve: Out Of Control On Cway,20: Out of Control on Curve,W,0,1,0,0,1,0,1,0,0,0,0,0
40,Minor injury,2007,July,Wednesday,17,Rear-end,Multi-Vehicle,153.4575138,-28.12784698,Avocado St,Doubleview Dr,,Elanora,Gold Coast City,4221,Palm Beach,Gold Coast,South Eastern,SEQ South,South Coast,Elanora,Coolangatta,Gold Coast,Major Cities,Currumbin,Mcpherson,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view obscured,Grade,303,Vehs Same Direction: Right Rear,04: Rear-end,E,0,0,0,1,1,2,0,0,0,0,0,0
41,Hospitalisation,2008,March,Friday,9,Sideswipe,Multi-Vehicle,146.7677704,-19.29686002,Anne St,Ross River Rd,Ross River Road,Aitkenvale,Townsville City,4814,Mundingburra,Townsville,Northern,Northern,North Queensland,Aitkenvale,Townsville,Townsville,Outer Regional,Mundingburra,Herbert,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,306,Vehs Same Direction: Lane Change Right,05: Lane Change,E,0,1,0,0,1,1,1,0,0,0,0,0
42,Minor injury,2008,September,Friday,12,Angle,Multi-Vehicle,146.8031724,-19.2764721,Marks St,Philp St,,Hermit Park,Townsville City,4812,Mundingburra,Townsville,Northern,Northern,North Queensland,Hermit Park - Rosslea,Townsville,Townsville,Outer Regional,Townsville,Herbert,Locally-controlled,Intersection - Roundabout,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,102,Vehs Adjacent Approach: Right-Thru,01: Intersection: Adjacent Approach,N,0,0,0,1,1,1,1,0,0,0,0,0
43,Medical treatment,2009,January,Friday,18,Rear-end,Multi-Vehicle,153.0824039,-27.43350524,Fison Ave W,Kingsford Smith Dr,Southern Cross Way,Eagle Farm,Brisbane City,4009,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Eagle Farm - Pinkenba,Nundah,Brisbane - North,Major Cities,Clayfield,Brisbane,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,302,Vehs Same Direction: Left Rear,04: Rear-end,N,0,0,1,1,2,2,0,0,0,0,0,0
44,Property damage only,2008,November,Saturday,13,Hit object,Single Vehicle,145.9193358,-17.26780991,Bruce Hwy,,Bruce Highway (Innisfail - Cairns),Bellenden Ker,Cairns Region,4871,Babinda,Far North,Far Northern,Northern,North Queensland,Babinda,Innisfail - Cassowary Coast,Cairns,Outer Regional,Hill,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,502,Vehs Overtaking: Out Of Control,15: Off Carriageway on Straight,N,0,0,0,0,0,1,0,0,0,0,0,0
45,Medical treatment,2008,January,Friday,0,Hit object,Single Vehicle,150.5190604,-23.37137441,Rockhampton - Yeppoon Rd,,Rockhampton - Yeppoon Road,Berserker,Rockhampton Region,4701,North Rockhampton,Capricornia,Central,Central,Central Queensland,Berserker,Rockhampton,Central Queensland,Inner Regional,Rockhampton,Capricornia,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,708,Off Path-Straight: Mounts Traffic Island,16: Off Carriageway on Straight Hit Object,N,0,0,1,0,1,1,0,0,0,0,0,0
46,Minor injury,2007,August,Saturday,14,Angle,Multi-Vehicle,153.1235313,-27.6152683,Pacific Hwy Connection Rd,Pacific Hwy Ramp Xr,Pacific Highway Connection Road,Underwood,Logan City,4119,Springwood,Logan,South Eastern,SEQ South,South Coast,Underwood,Springwood - Kingston,Logan - Beaudesert,Major Cities,Waterford,Rankin,State-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,W,0,0,0,2,2,2,0,0,0,0,0,0
47,Minor injury,2007,September,Thursday,20,Rear-end,Multi-Vehicle,152.3522099,-24.86521687,Bourbong St,,,Bundaberg Central,Bundaberg Region,4670,Bundaberg,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Bundaberg,Bundaberg,Wide Bay,Inner Regional,Bundaberg,Hinkler,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,W,0,0,0,1,1,1,1,0,0,0,0,0
48,Hospitalisation,2008,September,Thursday,16,Sideswipe,Multi-Vehicle,153.0103216,-27.39673818,Appleby Rd,,,Stafford Heights,Brisbane City,4053,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Stafford Heights,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Dip,307,Vehs Same Direction: Lane Change Left,05: Lane Change,N,0,1,0,0,1,1,1,0,0,0,0,0
